date_of_sale,address,county,eircode,price_eur,not_full_market_price,vat_exclusive,property_description,size_description,year,month,ber_rating,bedrooms,bathrooms,floor_area
02/03/2026,"129 BREGA, HAMLET LANE, BALBRIGGAN",Dublin,K32N252,"€284,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,B3,3.0,2.0,85.0
02/03/2026,"13 CAPEL ST, DUBLIN 1, DUBLIN",Dublin,D01PY17,"€610,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,F,,,343.0
02/03/2026,"13 Codrum Green, Codrum Hall, Ovens",Cork,,"€410,528.63",No,Yes,New Dwelling house /Apartment,,2026,3,D1,5.0,3.0,192.0
02/03/2026,"14 LANSDOWNE WOOD, LANSDOWNE RD, BALLSBRIDGE DUBLIN 4",Dublin,D04VW89,"€800,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,F,,,90.0
02/03/2026,"15 Aderrig Farm, Adamstown, Lucan",Dublin,,"€422,907.48",No,Yes,New Dwelling house /Apartment,,2026,3,G,2.0,,78.0
02/03/2026,"15 GLENTWORTH PARK, ARD NA GREINE, DUBLIN 13",Dublin,D13E8W9,"€240,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2026,3,C1,4.0,3.0,160.0
02/03/2026,"158A GLENDALE, LEIXLIP, GLENDALE",Kildare,W23Y576,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,C2,4.0,3.0,132.0
02/03/2026,"16 Church Fields Glen, Dublin 15",Dublin,,"€383,259.91",No,Yes,New Dwelling house /Apartment,,2026,3,A2,2.0,,
02/03/2026,"16 HENRIETTA ST APT 1, WATERFORD, WATERFORD",Waterford,X91FV00,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,G,1.0,1.0,
02/03/2026,"16 MARINA COURT, BUNDORAN, DONEGAL",Donegal,F94H2C9,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,3.0,2.0,294.0
02/03/2026,"17 THE GLEBE, MAUDLIN ROAD, KELLS",Meath,A82X432,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,3.0,2.0,
02/03/2026,"185 SEASON PARK, NEWTOWNMOUNTKENNEDY, CO WICKLOW",Wicklow,A63VW01,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,C3,3.0,1.0,80.64
02/03/2026,"19 The Grove, Pairc na Manach, Newbridge",Kildare,,"€418,502.20",No,Yes,New Dwelling house /Apartment,,2026,3,F,4.0,3.0,
02/03/2026,"19 WOODLAND PARK, CULLYFAD, LONGFORD",Longford,N39D299,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,3.0,3.0,
02/03/2026,"1C CATFORD MEWS, TOWER HOUSE, TOWER ST",Cork,T12D2C8,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,F,3.0,1.0,70.0
02/03/2026,"2 FERN HILL, BALLYDAVID, ATHENRY",Galway,H65TW60,"€438,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,C1,4.0,2.0,125.0
02/03/2026,"2 Griffin Drive East, Ard Griffin, New Water Rock Road",Cork,,"€458,149.77",No,Yes,New Dwelling house /Apartment,,2026,3,A2,4.0,3.0,100.0
02/03/2026,"2 NEW HOUSES, COLLINSTOWN, WESTMEATH",Westmeath,N91EK10,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"2 PARC NA LAIR, FINTRABEG, MILTOWN MALBEY",Clare,V95EK66,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"2 PARKSIDE, BALLYMORE ROAD, NAAS",Kildare,W91F2RC,"€645,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"2 The Paddocks, Greenpark, Limerick",Limerick,,"€369,162.99",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"20 TRITONVILLE AVE, SANDYMOUNT, DUBLIN 4",Dublin,D04EE38,"€905,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"21 STRANDFIELD MANOR, SPAWELL ROAD, WEXFORD TOWN",Wexford,Y35DH7A,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"21 The Square, Fox Meadow, Loughmacask",Kilkenny,,"€581,850.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"219 Cois Dara, Tullow Road",Carlow,R93P4AA,"€328,700.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"23 SUMMERHILL, BUNCRANA, DONEGAL",Donegal,F93KH94,"€64,500.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"231 GALTYMORE RD, CRUMLIN, DUBLIN 12",Dublin,D12TX21,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"24 MOUNT PROSPECT, DUBLIN RD, MULLINGAR",Westmeath,N91XA39,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"25 CARRICK VALE, CARRICK RD, EDENDERRY",Offaly,R45DY94,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"25 Mason Cross Road, Newcastle, Dublin 22",Dublin,,"€511,013.22",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"26 BELMAYNE PARK NORTH, BALGRIFFIN, DUBLIN 13",Dublin,D13P8Y0,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"26 HAZELWOOD PARK, DUBLIN 5, DUBLIN",Dublin,D05W2Y4,"€563,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"27 Rathárd Park, Longview, Ballyvolane",Cork,,"€387,665.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"27A ARAS NA CLUAINE, WOODFORD WALK, DUBLIN 22",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"29 Brookfield Drive, Brookfield, Kilbarry",Waterford,,"€333,326.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"29 CORDUFF GREEN, BLANCHARDSTOWN, CO. DUBLIN",Dublin,D15AX2H,"€310,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"29 STEPHEN ST, WATERFORD, WATERFORD",Waterford,X91HY7K,"€118,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"3 CHURCH VIEW, CHAPEL RD, MOYLOUGH",Galway,H53NX24,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"3 SARAH CURRAN AVENUE, RATHFARNHAM, DUBLIN 14",Dublin,D16T977,"€1,250,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"3 THE GROVE, HAZELBROOK SQUARE, CHURCHTOWN",Dublin,D14DE88,"€1,330,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"303 KILBARRACK RD, RAHENY, DUBLIN 5",Dublin,D05A4C9,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"31 BUTLER COURT, MITCHEL ST, THURLES",Tipperary,E41E2R3,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"31 MARINERS VIEW, PASSAGE WEST, CORK",Cork,T12HYC9,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"32 DARGLE RD, DRUMCONDRA, DUBLIN 9",Dublin,D09E0W9,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"32 SANDYHILL LANE, GLENCONNOR VILLAGE, CLONMEL",Tipperary,,"€244,493.39",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"33 ARD NA GREINE, WATERFORD",Waterford,X91HH9K,"€181,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"33 THE DALES, MOYLOUGH, BALLINASLOE",Galway,H53Y627,"€248,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"35 KILNASOOLAGH PARK, NEWMARKET ON FERGUS, CLARE",Clare,V95W0D2,"€219,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"35 ST CARDANS PLACE, NAAS, KILDARE",Kildare,W91PW9H,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"35 THE WATER RILL, WATERSIDE, SWORDS RD",Dublin,K36VX90,"€407,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"36 Glenmore Heights, Lehenaghmore, Cork",Cork,,"€352,225.00",Yes,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"38 REUBEN AVENUE, RIALTO, DUBLIN 8",Dublin,D08HY47,"€723,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"39 LODGE VIEW, DRUMNAVEIL, COOTEHILL",Cavan,H16RW31,"€81,330.00",Yes,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"39 Seaview Court, Rocksborough, Wexford",Wexford,,"€330,396.48",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"39 THE GREEN, COOLROE MEADOWS, BALLINCOLLIG",Cork,P31PY97,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"39A MOUNTAIN VIEW DR, RATHFARNHAM, DUBLIN 16",Dublin,D14Y060,"€680,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"3A AUGHAMORE, KILCOCK ROAD, CLANE",Kildare,W91YKC8,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"4 ASHLING GROVE, CASTLEBLAYNEY, MONAGHAN",Monaghan,A75E628,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"4 PARKMORE TERRACE, TUAM, CO. GALWAY",Galway,H54F382,"€177,500.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"40 WOODVIEW, CASTLEBRIDGE, WEXFORD",Wexford,Y35YD71,"€307,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"43 ST HELENS DR, KILRANE, WEXFORD",Wexford,Y35YF90,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"44 GARVILLE LANE, RATHGAR, DUBLIN 6",Dublin,D06WF51,"€790,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"45 ATHENRY RD, TUAM, GALWAY",Galway,H54W523,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"45 PARKMORE, TUAM, CO GALWAY",Galway,H54TC98,"€153,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"46 St. Furseys Park, Dublin Road, Dundalk",Louth,,"€348,017.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"47 MAIN ST, HOWTH, CO DUBLIN",Dublin,D13R9F8,"€713,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"48 KILLCARAGH, LIXNAW, KERRY",Kerry,V92E672,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"48 Ushers Mill Drive, Ushers Mill, Drogheda",Louth,,"€348,017.62",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"5 MOUNTAIN VIEW, KILTIMAGH, MAYO",Mayo,F12FW74,"€247,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"5 THE AVENUE, HAZELBROOK SQUARE, WHITEHALL ROAD",Dublin,D14P5H0,"€1,000,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"51 DAISYHILL MANOR, BALLYCONNELL, CAVAN",Cavan,H14XD52,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"52 AN CNÓCAN, MILLEENCOOLA, BANTRY",Cork,P75VH94,"€251,101.31",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"53 Cul Dara, Williamstown Road, Williamstown",Waterford,,"€343,612.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"53 Vicar's Glebe, Coachford",Cork,,"€365,637.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"55 Milltown Manor, Ashbourne",Meath,,"€440,484.50",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"56 CASTLEGATE GROVE, ADAMSTOWN, LUCAN",Dublin,K78TD85,"€556,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"58 BROOKWOOD RD, ARTANE, DUBLIN 5",Dublin,D05V2H5,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"58 Rath Park, Shanrath, Athy",Kildare,,"€405,286.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"59 RD EAST WALL, BARGY DUBLIN 3, DUBLIN",Dublin,D03PT04,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"59 ST STEEVENS GATE, THOMAS ST, DUBLIN 8",Dublin,D08ED86,"€276,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"5B IONA HALL, GLASHEEN RD, WILTON",Cork,T12NX06,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"6 LOVELANE CLOSE, ARD GAOITHE UPPER, CLONMEL",Tipperary,E91C6A0,"€287,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"60 HIGHFIELD GROVE, CAHERSLEE, TRALEE",Kerry,V92KV7D,"€371,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"65 MILLTOWN MANOR, ASHBOURNE",Meath,,"€440,484.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"66 COLLEGE ORCHARD, NEWBRIDGE, CO KILDARE",Kildare,W12X008,"€381,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"7 GRANGE VIEW WAY, CLONDALKIN, DUBLIN 22",Dublin,D22CD88,"€345,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"7 MEADOW VALE, DEANSGRANGE, CO DUBLIN",Dublin,A94EA48,"€875,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"7 MILLRACE, BALLYCLOUGH, MALLOW",Cork,P51HX77,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"70 COLLEGE GREEN, ENNIS, CO CLARE",Clare,V95FE8A,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"73 SARSFIELD SQUARE, ATHLONE, COUNTY WESTMEATH",Westmeath,N37CK30,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"73 STONEPARK ABBEY, GRANGE RD, RATHFARNHAM DUBLIN 14",Dublin,D14N8F7,"€880,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"78 NEWCASTLE MANOR SQ, NEWCASTLE, DUBLIN",Dublin,D22X7D0,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"7B BELFIELD COURT, DONNYBROOK, DUBLIN",Dublin,D04FP73,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"8 PLUNKETT TERRACE, COBH, CORK",Cork,P24YE18,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"8 Sunrise Meadow, Killea, Dunmore East",Waterford,,"€342,582.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"85 ASHGROVE, BALLYVELLY, TRALEE",Kerry,V92F65E,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"86 Burkeen Dales, Hawkstown Road, Wicklow Town",Wicklow,,"€427,312.77",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"86 Seven Winds, North Road, Drogheda",Louth,A92VCX7,"€370,000.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"9 Egland Park, Castle Street, Ashbourne",Meath,,"€317,180.61",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"9 Gleann Glas, Lismonaghan, Letterkenny",Donegal,,"€379,000.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"92 Woodberry Manor, Monksland, Athlone",Roscommon,,"€330,396.47",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"94 Coill an Easpaig, Portarlington",Laois,R32P30K,"€385,000.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"AGHATUBRID, CAHERCIVEEN, CO. KERRY",Kerry,V23C723,"€382,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"Apartment 32 Meadow View, Clay Farm, Leopardstown",Dublin,,"€438,422.00",No,Yes,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"APT 105 THE WATERMILLS, WATERMILL ROAD, RAHENY",Dublin,D05P586,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"APT 1, MAINSTREET, HOSPITAL",Limerick,V35VH73,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"APT 2, MAIN STREET, HOSPITAL",Limerick,V35KX08,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"APT 3, 19 PARLIAMENT ST, DUBLIN 2",Dublin,D02T952,"€331,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"APT 3, KYRAN ST, TULLAMORE",Offaly,R35WK82,"€66,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"APT 3, MAIN STREET, HOSPITAL",Limerick,V35TR26,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"APT 4, MAIN ST, HOSPITAL",Limerick,,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"BALLINAGARE, LIXNAW, TRALEE",Kerry,V92E2K1,"€322,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"BALLINTUE, BALLYNACARGY, MULLINGAR",Westmeath,N91X8W9,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"BALLYFIN, BALLYCANEW, GOREY",Wexford,Y25N738,"€342,500.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"BLOCK 1 APARTMENT 7, NORTH QUAY PLACE, POPES QUAY",Cork,T23DK11,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"BRIDES GLEN HOUSE, BRIDES GLEN RD, SHANKILL DUBLIN 18",Dublin,D18NH59,"€266,865.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"CANNONS, MARKET SQUARE, CASTLEBAR",Mayo,F23H367,"€102,500.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"CASTLEKEELY, CARAGH, NAAS",Kildare,W91DPP7,"€1,325,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"CHURCH VIEW, TUAM, CO GALWAY",Galway,H54T671,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"CLOGHERTOWN, CLONALVY, MEATH",Meath,A42VY18,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"CORNULLA, GORVAGH, CO LEITRIM",Leitrim,,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"DRUMGURRIHY, UPPER RAFFEEN, MONKSTOWN",Cork,T12XEX0,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"EDGEWATER, THE SPA, TRALEE",Kerry,V92DH4F,"€940,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"ERNEHILL, BELTURBET, CO CAVAN",Cavan,H14EV21,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"FEARIE NUFF COTTAGE, CADDAGH GLEBE, DROMAHAIR",Leitrim,F91X7R0,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"GARADICE, KILCOCK, MEATH",Meath,W23H5CC,"€875,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"GAYBROOK, MULLINGAR, WESTMEATH",Westmeath,N91X3A8,"€383,957.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"KEENAGHAN, LETTERKENNY, CO DONEGAL",Donegal,F92C6TV,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"Lands and premises at, Howth Road  Baltray, Howth",Dublin,,"€30,000.00",No,No,New Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"MAIN ST, KILDORRERY, CORK",Cork,P67RX44,"€233,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"MOLLYS VIEW, BOGAGH ROAD, ROXBOROUGH GLEBE",Donegal,F94T189,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"MOUNT ALVERNA, CLON RD, ENNIS",Clare,V95EN2H,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"MOUNTAIN VIEW, BOLLINGBROOK, NENAGH",Tipperary,E45AT21,"€437,500.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"NO.4 COURTHOUSE LANE, CAHERCIVEEN, KERRY",Kerry,V23H940,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"PATRICK STREET, PORTARLINGTON, CO. OFFALY",Offaly,R32K207,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
02/03/2026,"ROSAMUSTICA, 3A KNOCKSINNA PARK, DUBLIN 18",Dublin,D18R220,"€1,300,000.00",No,No,Second-Hand Dwelling house /Apartment,,2026,3,,,,
